Date,USD,EUR
1987-04-17,437.75,361.22
1987-04-20,437.75,361.22
1987-04-21,449.5,371.69
1987-04-22,445.5,369.98
1987-04-23,450.5,372.07
1987-04-24,462.2,377.24
1987-04-27,474.75,386.32
1987-04-28,453.0,371.17
1987-04-29,449.0,367.24
1987-04-30,453.25,371.84
1987-05-01,456.75,371.6
1987-05-04,456.75,371.6
1987-05-05,459.25,370.92
1987-05-06,456.25,369.26
1987-05-07,456.25,370.81
1987-05-08,453.0,370.66
1987-05-11,453.0,372.3
1987-05-12,460.7,376.72
1987-05-13,460.5,377.15
1987-05-14,461.05,376.9
1987-05-15,469.9,382.49
1987-05-18,473.25,385.38
1987-05-19,471.1,383.69
1987-05-20,475.25,385.94
1987-05-21,469.1,381.94
1987-05-22,466.5,379.79
1987-05-25,466.5,379.79
1987-05-26,449.0,370.83
1987-05-27,449.5,373.65
1987-05-28,453.1,375.94
1987-05-29,451.0,375.9
1987-06-01,442.9,370.87
1987-06-02,455.0,375.35
1987-06-03,453.0,374.51
1987-06-04,452.75,376.61
1987-06-05,453.5,376.27
1987-06-08,456.55,376.8
1987-06-09,452.65,371.12
1987-06-10,455.65,374.27
1987-06-11,457.0,375.14
1987-06-12,455.45,377.07
1987-06-15,449.75,375.11
1987-06-16,452.75,377.91
1987-06-17,451.25,376.62
1987-06-18,452.2,376.86
1987-06-19,449.0,375.38
1987-06-22,438.0,367.99
1987-06-23,440.2,368.72
1987-06-24,441.75,367.73
1987-06-25,440.5,367.83
1987-06-26,444.1,370.65
1987-06-29,449.75,376.3
1987-06-30,447.3,373.31
1987-07-01,445.75,372.26
1987-07-02,446.25,373.54
1987-07-03,444.1,373.21
1987-07-06,443.35,372.22
1987-07-07,444.5,373.41
1987-07-08,446.4,375.27
1987-07-09,444.1,372.87
1987-07-10,444.75,374.77
1987-07-13,446.5,375.62
1987-07-14,447.0,377.36
1987-07-15,452.7,378.16
1987-07-16,453.75,380.29
1987-07-17,450.6,381.92
1987-07-20,450.9,382.8
1987-07-21,452.4,384.82
1987-07-22,454.9,386.44
1987-07-23,453.95,384.01
1987-07-24,453.3,383.38
1987-07-27,453.15,383.46
1987-07-28,456.15,386.37
1987-07-29,457.75,387.97
1987-07-30,457.15,387.1
1987-07-31,462.5,391.91
1987-08-03,472.75,401.75
1987-08-04,473.4,407.71
1987-08-05,469.8,402.2
1987-08-06,468.7,402.29
1987-08-07,464.1,400.03
1987-08-10,461.1,398.17
1987-08-11,461.2,398.99
1987-08-12,463.4,399.97
1987-08-13,462.5,398.5
1987-08-14,460.0,393.85
1987-08-17,453.3,388.07
1987-08-18,457.5,385.21
1987-08-19,456.35,383.22
1987-08-20,456.1,380.47
1987-08-21,455.5,377.75
1987-08-24,459.5,380.68
1987-08-25,458.0,380.75
1987-08-26,457.6,380.83
1987-08-27,458.75,379.38
1987-08-28,453.4,374.28
1987-08-31,453.4,374.28
1987-09-01,453.75,374.97
1987-09-02,463.1,380.82
1987-09-03,463.7,379.34
1987-09-04,464.75,380.68
1987-09-07,463.5,378.82
1987-09-08,456.95,373.51
1987-09-09,458.3,375.47
1987-09-10,460.2,379.13
1987-09-11,459.85,377.38
1987-09-14,455.55,376.93
1987-09-15,458.8,379.07
1987-09-16,458.4,378.54
1987-09-17,460.5,380.38
1987-09-18,461.7,379.35
1987-09-21,459.1,378.89
1987-09-22,461.55,382.34
1987-09-23,462.4,383.17
1987-09-24,464.0,384.32
1987-09-25,461.8,382.36
1987-09-28,460.85,382.3
1987-09-29,459.4,383.81
1987-09-30,459.5,384.69
1987-10-01,454.9,381.7
1987-10-02,454.35,380.19
1987-10-05,456.5,382.09
1987-10-06,458.0,381.94
1987-10-07,458.05,380.08
1987-10-08,458.15,379.41
1987-10-09,462.05,381.27
1987-10-12,461.75,380.66
1987-10-13,459.2,379.94
1987-10-14,460.8,379.32
1987-10-15,466.6,381.73
1987-10-16,465.25,380.64
1987-10-19,481.0,388.62
1987-10-20,464.3,380.93
1987-10-21,467.0,383.8
1987-10-22,471.65,387.78
1987-10-23,470.5,381.36
1987-10-26,475.0,382.99
1987-10-27,474.0,380.19
1987-10-28,477.5,380.73
1987-10-29,472.45,373.93
1987-10-30,468.8,372.16
1987-11-02,469.3,369.03
1987-11-03,464.25,366.03
1987-11-04,466.15,366.82
1987-11-05,457.55,351.39
1987-11-06,460.0,354.69
1987-11-09,463.5,353.85
1987-11-10,458.25,350.65
1987-11-11,461.85,355.65
1987-11-12,462.45,360.65
1987-11-13,464.95,360.93
1987-11-16,462.1,361.01
1987-11-17,464.6,361.05
1987-11-18,463.7,359.66
1987-11-19,465.15,359.06
1987-11-20,465.7,359.88
1987-11-23,469.4,360.17
1987-11-24,475.0,368.15
1987-11-25,476.5,365.08
1987-11-26,477.65,366.23
1987-11-27,478.4,364.2
1987-11-30,492.5,371.97
1987-12-01,487.8,370.25
1987-12-02,490.9,373.63
1987-12-03,491.1,375.01
1987-12-04,486.25,372.99
1987-12-07,481.15,369.75
1987-12-08,484.3,371.52
1987-12-09,484.2,370.15
1987-12-10,488.0,367.66
1987-12-11,493.5,370.44
1987-12-14,499.75,375.1
