DATE,OECDCPALTT01GYM
2003-01-01,2.83858636772172
2003-02-01,3.09157690073757
2003-03-01,3.14230241299117
2003-04-01,2.60724705089113
2003-05-01,2.40957749632236
2003-06-01,2.40196790546659
2003-07-01,2.3612386545826
2003-08-01,2.34066130462095
2003-09-01,2.37696103100556
2003-10-01,2.19014590762776
2003-11-01,2.01286675327945
2003-12-01,2.02364634149682
2004-01-01,1.94542532821204
2004-02-01,1.79988082635416
2004-03-01,1.76843970973712
2004-04-01,2.09750126471294
2004-05-01,2.56489086399289
2004-06-01,2.71811730551312
2004-07-01,2.62169562137881
2004-08-01,2.49589275324841
2004-09-01,2.38377294138923
2004-10-01,2.80401055552917
2004-11-01,2.95024804020171
2004-12-01,2.76921830128281
2005-01-01,2.51792031685411
2005-02-01,2.51882922808183
2005-03-01,2.60765645927928
2005-04-01,2.74021773848899
2005-05-01,2.38648611765564
2005-06-01,2.2059545199427
2005-07-01,2.55561610328389
2005-08-01,2.74068021897013
2005-09-01,3.27214082522882
2005-10-01,3.00840572427865
2005-11-01,2.56135071215209
2005-12-01,2.6044081163024
2006-01-01,2.9733659970812
2006-02-01,2.76800303966504
2006-03-01,2.58533749786862
2006-04-01,2.79031629572894
2006-05-01,3.12068344314011
2006-06-01,3.23570238404379
2006-07-01,3.16212028014827
2006-08-01,3.06803530343687
2006-09-01,2.18146729305418
2006-10-01,1.75887269281622
2006-11-01,2.09716842744736
2006-12-01,2.35733261824978
2007-01-01,2.0889786659261
2007-02-01,2.26158609819032
2007-03-01,2.5050303083806
2007-04-01,2.41577523293602
2007-05-01,2.39540775810281
2007-06-01,2.37683653739083
2007-07-01,2.19282716998092
2007-08-01,1.97715614067021
2007-09-01,2.4147088841012
2007-10-01,2.96932805947357
2007-11-01,3.5145707820557
2007-12-01,3.45592051303796
2008-01-01,3.62258865347528
2008-02-01,3.58788304926769
2008-03-01,3.65348535315003
2008-04-01,3.58872963285141
2008-05-01,3.95733148350918
2008-06-01,4.52296770381888
2008-07-01,4.92900707178387
2008-08-01,4.77661224463259
2008-09-01,4.52282805106332
2008-10-01,3.79155896415619
2008-11-01,2.31500356140124
2008-12-01,1.61723844765093
2009-01-01,1.36991937835155
2009-02-01,1.4189685973416
2009-03-01,0.969716361685843
2009-04-01,0.709947844369564
2009-05-01,0.163668791127292
2009-06-01,-0.0729134164074711
2009-07-01,-0.590759637532837
2009-08-01,-0.264727795645102
2009-09-01,-0.269798579673587
2009-10-01,0.214030328533851
2009-11-01,1.27930436668426
2009-12-01,1.83493749799442
2010-01-01,2.04724623187286
2010-02-01,1.88013218173463
2010-03-01,2.04815479156568
2010-04-01,2.06582839849252
2010-05-01,1.9453904784628
2010-06-01,1.4607861612044
